University_Name,Alumni,Staff,Hici,N&S,PUB,PCP
King Saud University,0,0,40.1,6.1,73,24.9
Ghent University,0,9.2,32.5,17.8,55.5,33.3
Nanyang Technological University,0,0,42.2,20.4,53.9,30.3
University of Pittsburgh,16.4,0,31.2,25.2,58,18.1
Central South University,0,0,27.6,9.3,81.6,24.5
Xi'an Jiaotong University,0,0,25.2,16.8,77.4,22
University of Basel,21.4,14.1,15.9,29.7,40.1,39.2
University of Bristol,5.2,13,28.4,26.3,46,27.4
Sichuan University,0,0,21.6,15.4,81,22.6
University of Helsinki,15.6,16,18.4,21.7,51.8,26.4
Purdue University - West Lafayette,11.6,20.9,20.6,19.8,49.3,23.2
Jilin University,0,0,23.5,14,65.9,17
Beijing Institute of Technology,0,0,36.2,12.7,59.3,22.4
Southern University of Science and Technology,0,0,26.8,23.1,49.2,35.9
Mayo Clinic College of Medicine and Science,0,0,39.6,16,48.5,27.4
Southeast University,0,0,23.5,9.6,71.6,21.7
South China University of Technology,0,0,28.4,10.8,61.7,21.9
Shandong University,0,0,21.6,14.3,74.6,18.8
Tianjin University,0,0,32.5,11.1,67.4,22
Northwestern Polytechnical University,0,0,34.4,12.1,58.5,21.9
Harbin Institute of Technology,0,0,22.5,16.1,74.1,23.9
The Chinese University of Hong Kong,0,13,19.5,10.6,56.7,25.3
Boston University,17.2,10.6,19.5,21.1,51.4,22
The University of Glasgow,14.7,0,25.2,21.4,45.2,24.6
City University of Hong Kong,0,0,36.2,17.7,50.1,31
McMaster University,18,17.2,27.6,12.4,45.1,30.7
University of Alberta,10.4,16,18.4,16.8,54.9,26.5
Brown University,23.8,18.2,11.3,19.8,44.8,33.3
Nagoya University,27,23.5,13,18.1,43.7,19.8
Université libre de Bruxelles (ULB),18,24.4,14.6,17.8,33.6,35.3
University of Warwick,12.7,27.6,14.6,19.4,41,27.3
University of Liverpool,14.7,9.2,18.4,20.2,46.6,26.3
Moscow State University,37.8,29.1,0,11.8,49.5,27.3
University of Nottingham,18.7,18.4,17.2,14.8,45.2,23.5
Radboud University Nijmegen,15.6,0,26,20.7,48.5,29.2
Carnegie Mellon University,28.9,27.6,9.2,22.6,31.5,27.8
University of Freiburg,20.8,14.6,19.5,23.4,38.8,41.8
Pennsylvania State University - University Park,9,0,22.5,32.6,47.9,16.4
Icahn School of Medicine at Mount Sinai,0,0,41.2,27.6,42.5,18.6
"University of California, Davis",12.7,0,23.5,26,54.1,21.6
Leiden University,14.7,0,29.8,21.6,52,27
University of Florida,15.6,0,19.5,20,62.9,23.1
Rice University,18.7,19.9,21.6,24.1,28.7,33.1
"Rutgers, The State University of New Jersey - New Brunswick",7.3,16,22.5,19.3,43.1,15.9
University of Bern,11.6,0,18.4,24.8,47,34.4
The University of Western Australia,19.4,13,24.4,14.3,46.4,33.6
Sapienza University of Rome,14.7,22.6,9.2,14.3,53.1,20.4
University of Lausanne,16.4,16,15.9,22.4,37.2,24.7
Emory University,0,0,23.5,21.3,53.7,27.5
University of Utah,0,10.6,14.6,23.6,50.7,21.7
University of Gothenburg,0,14.1,23.5,16.6,44.7,23.1
